epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,430.774,1.30646,3.13261,1.57881,0.43664,0.49637,0.42976,0.25438,1.39219,1.86834,1.68362,0.00332558,0.00332558,0.00332558
2,850.52,1.28854,2.10322,1.54333,0.43981,0.42338,0.39252,0.22567,1.5111,1.98436,1.9051,0.00659299,0.00659299,0.00659299
3,1271.82,1.38284,1.86892,1.6431,0.47421,0.26971,0.27125,0.16202,1.75324,2.81447,2.20267,0.0097944,0.0097944,0.0097944
4,1691.3,1.4296,1.82065,1.68968,0.39883,0.38303,0.34022,0.19503,1.67356,2.29846,2.06981,0.009703,0.009703,0.009703
5,2107.96,1.36528,1.65687,1.63809,0.45945,0.50568,0.43664,0.27639,1.40121,1.68862,1.75493,0.009604,0.009604,0.009604
6,2525.18,1.30088,1.51551,1.57561,0.53661,0.49953,0.50591,0.32128,1.32623,1.51587,1.71342,0.009505,0.009505,0.009505
7,2942.69,1.27797,1.46812,1.56145,0.5071,0.50834,0.47897,0.3029,1.35439,1.54389,1.72831,0.009406,0.009406,0.009406
8,3360.02,1.26503,1.4179,1.53892,0.57594,0.56607,0.57201,0.37011,1.25104,1.2883,1.61581,0.009307,0.009307,0.009307
9,3776.55,1.22108,1.35182,1.51757,0.63195,0.5745,0.60176,0.38564,1.22328,1.26015,1.59211,0.009208,0.009208,0.009208
10,4195.57,1.20004,1.30636,1.49155,0.60494,0.55925,0.58771,0.38185,1.20593,1.26715,1.59192,0.009109,0.009109,0.009109
11,4617.34,1.19907,1.28674,1.48622,0.65486,0.59596,0.62827,0.40179,1.22419,1.19432,1.58216,0.00901,0.00901,0.00901
12,5041.87,1.18728,1.25664,1.4793,0.65295,0.62177,0.63827,0.4221,1.16449,1.14734,1.53445,0.008911,0.008911,0.008911
13,5462.18,1.15966,1.22185,1.46222,0.62804,0.63619,0.64729,0.43098,1.14045,1.10329,1.51103,0.008812,0.008812,0.008812
14,5882.53,1.16166,1.20654,1.45866,0.64159,0.60722,0.64466,0.42713,1.16364,1.08885,1.53559,0.008713,0.008713,0.008713
15,6304.56,1.16081,1.19292,1.45289,0.67621,0.63016,0.66416,0.44401,1.12919,1.06007,1.49305,0.008614,0.008614,0.008614
16,6725.95,1.15536,1.18584,1.43421,0.67472,0.64002,0.67861,0.4527,1.11896,1.03192,1.4812,0.008515,0.008515,0.008515
17,7148.52,1.13496,1.15599,1.42383,0.68145,0.65553,0.68698,0.45942,1.12111,1.02466,1.4898,0.008416,0.008416,0.008416
18,7569.67,1.12877,1.14241,1.42286,0.70605,0.65676,0.69887,0.4706,1.10537,0.99553,1.47235,0.008317,0.008317,0.008317
19,7995.2,1.13525,1.13483,1.4228,0.69846,0.66621,0.70451,0.47757,1.09022,0.96706,1.45444,0.008218,0.008218,0.008218
20,8418.75,1.10923,1.10967,1.40939,0.70775,0.65439,0.70645,0.48142,1.07903,0.95568,1.44777,0.008119,0.008119,0.008119
21,8840.21,1.10775,1.0992,1.4044,0.71229,0.67828,0.72063,0.49296,1.07734,0.93707,1.444,0.00802,0.00802,0.00802
22,9257.13,1.11558,1.10015,1.40756,0.71383,0.67948,0.71976,0.4933,1.0723,0.93011,1.4454,0.007921,0.007921,0.007921
23,9675.81,1.1134,1.08199,1.39674,0.73678,0.66167,0.72069,0.49848,1.05645,0.92105,1.43332,0.007822,0.007822,0.007822
24,10099.2,1.08756,1.05971,1.38562,0.7176,0.68078,0.729,0.50277,1.05372,0.90746,1.41925,0.007723,0.007723,0.007723
25,10521.5,1.10208,1.06551,1.39242,0.72602,0.68987,0.73414,0.50769,1.04807,0.89125,1.4206,0.007624,0.007624,0.007624
26,10945.2,1.09877,1.05733,1.38899,0.73172,0.69319,0.73461,0.50801,1.04596,0.90057,1.41248,0.007525,0.007525,0.007525
27,11366.5,1.08171,1.04385,1.37674,0.74246,0.67654,0.7301,0.50587,1.04306,0.8942,1.41023,0.007426,0.007426,0.007426
28,11790.5,1.0779,1.04618,1.38348,0.74142,0.68825,0.73866,0.51224,1.03633,0.87891,1.40979,0.007327,0.007327,0.007327
29,12215.4,1.07953,1.01774,1.37518,0.72327,0.70378,0.73881,0.51467,1.03342,0.87277,1.40667,0.007228,0.007228,0.007228
30,12639.9,1.08344,1.03101,1.38245,0.73782,0.7023,0.74559,0.51876,1.03066,0.86327,1.40704,0.007129,0.007129,0.007129
31,13063.3,1.05554,0.99171,1.3626,0.73703,0.70124,0.74599,0.52179,1.0263,0.85572,1.40037,0.00703,0.00703,0.00703
32,13486.8,1.06319,0.9978,1.36503,0.74042,0.70362,0.74842,0.52223,1.02558,0.8535,1.398,0.006931,0.006931,0.006931
33,13908.4,1.05623,0.98894,1.35548,0.73122,0.70582,0.74874,0.52271,1.02438,0.85415,1.39647,0.006832,0.006832,0.006832
34,14331,1.05632,0.9875,1.35454,0.73012,0.70527,0.74847,0.52372,1.02083,0.85146,1.39314,0.006733,0.006733,0.006733
35,14753.4,1.05485,0.98084,1.35895,0.73844,0.70113,0.74897,0.52469,1.01947,0.85052,1.39216,0.006634,0.006634,0.006634
36,15174.9,1.05644,0.96904,1.35228,0.73916,0.70455,0.74766,0.5252,1.01807,0.84831,1.39049,0.006535,0.006535,0.006535
37,15602.1,1.03832,0.96189,1.34255,0.7463,0.70561,0.74933,0.52643,1.01537,0.84375,1.38843,0.006436,0.006436,0.006436
38,16029.1,1.04339,0.96042,1.33868,0.74449,0.70409,0.74917,0.52688,1.01364,0.84235,1.38645,0.006337,0.006337,0.006337
39,16451.7,1.03844,0.95193,1.34563,0.7454,0.70648,0.75092,0.52859,1.01252,0.84134,1.38545,0.006238,0.006238,0.006238
40,16873.7,1.02501,0.93129,1.3364,0.74554,0.70586,0.75155,0.52952,1.01098,0.84005,1.38401,0.006139,0.006139,0.006139
41,17300.4,1.03959,0.9512,1.33463,0.74231,0.7102,0.75269,0.53082,1.00996,0.83965,1.38286,0.00604,0.00604,0.00604
42,17729.8,1.0317,0.93709,1.32937,0.74581,0.70689,0.75328,0.53163,1.00886,0.83823,1.38262,0.005941,0.005941,0.005941
43,18155.7,1.02536,0.92462,1.32553,0.74128,0.71091,0.75431,0.5325,1.00749,0.83682,1.38152,0.005842,0.005842,0.005842
44,18576.2,1.0399,0.93793,1.33122,0.74766,0.70371,0.75361,0.53272,1.00603,0.83505,1.37995,0.005743,0.005743,0.005743
45,19001.6,1.01806,0.91951,1.32321,0.74177,0.70639,0.75377,0.53324,1.00533,0.83342,1.37958,0.005644,0.005644,0.005644
46,19429.4,1.00831,0.89811,1.31409,0.75095,0.70066,0.75467,0.5338,1.00468,0.832,1.37941,0.005545,0.005545,0.005545
